system   D d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\win\wsystem.c:633  _al_win_safe_load_library        [   0.00082] PathFindOnPath found: C:\Windows\system32\d3d9.dll
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03263] Failed loading imgs/megaman/andando_atirando_5.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03268] Failed loading imgs/megaman/andando_atirando_6.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03272] Failed loading imgs/megaman/andando_atirando_7.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03275] Failed loading imgs/megaman/andando_atirando_8.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03279] Failed loading imgs/megaman/andando_atirando_9.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03283] Failed loading imgs/megaman/andando_atirando_10.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03287] Failed loading imgs/megaman/pulando_1.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03290] Failed loading imgs/megaman/pulando_2.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03294] Failed loading imgs/megaman/pulando_3.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03298] Failed loading imgs/megaman/pulando_4.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03301] Failed loading imgs/megaman/pulando_5.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03311] Failed loading imgs/megaman/pulando_atirando_1.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03315] Failed loading imgs/megaman/pulando_atirando_2.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03319] Failed loading imgs/megaman/pulando_atirando_3.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03323] Failed loading imgs/megaman/pulando_atirando_4.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03327] Failed loading imgs/megaman/pulando_atirando_5.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03330] Failed loading imgs/inimigos/atirador_1.png with .png handler.
bitmap   W d:\Libraries\build\allegro\src\allegro-git\allegro-git\src\bitmap_io.c:222  al_load_bitmap                   [   0.03334] Failed loading imgs/megaman/tiro.png with .png handler.
